_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-59.34501,1000,0.22690086,-0.759757,3.3333333,0.27303776,0.099791534,-2.4644215,2.4058743,0.39897752,4.263256414560601e-17,-2.1311742226285593,3.212874019531241,0.9999959793116002,-1.1843803143093394,-1.499999931629612,-0.45249998569488525,0.02982261915501593,20,-0.0028403650503605604,2.7480145,0.0015102398,1.0,1.0,0.0887389255864049,-1.3847448737951127,-8.365092815967104
-49.25,1000,0.08874253,-0.5530723,0.84274983,0.0829819,0.09090142,-2.0679345,2.313326,0.39828947,-4.263256414560601e-17,-2.727834830687674,2.10773598342531,0.9999946505785144,-0.9824806062364695,-1.4999755355965603,-0.45249998569488525,0.07549771726699331,40,-0.011195753701031208,2.738021,0.007422842,1.5,1.0,0.12367453904619419,-0.6374872592523506,-0.6681094537385557
-54.734997,1000,-0.057128455,-0.48635763,0.4498777,0.05471281,0.012843243,-2.4902537,2.4257436,0.37649548,2.842170943040401e-17,-2.45253509311622,3.9352874633511488,0.9999899098781027,-1.0921803674579413,-1.499997650197744,-0.45249998569488525,0.05679994289017005,60,-0.008438358083367348,2.745771,0.004648052,1.5,1.0,0.08451628204854092,-0.45203507391901243,-0.4343705881394613
-54.05,968,-0.034614194,-0.49426505,0.4860615,0.051529817,0.0015190995,-2.252188,1.8502395,0.3848677,1.8350793795457133e-17,-2.6816932441089776,7.086163412222098,0.9999844254045978,-1.1141329160941238,-1.499999743050982,0.09049999713897705,0.05097994325394784,80,-0.012111022137105465,2.756478,0.007993827,2.25,1.0,0.08684528264764751,-0.702019796696995,-0.45956509024448255
-55.680004,984,-0.06886757,-0.47851315,0.4869611,0.046073392,-0.037886225,-2.2707887,2.1821706,0.40245864,-1.4441925523579274e-17,-3.275090632581847,9.177162158741428,0.9999846008985629,-1.1291468386792698,-1.4999976312370062,0.45249998569488525,0.053744107404357845,100,-0.011880440637469292,2.7454846,0.0042920266,2.25,1.0,0.08929653187199173,-0.6614313941184611,-0.5845956193601505
-46.495003,877,-0.013993913,-0.48332363,0.52200127,0.056101304,-0.019732412,-2.3962877,2.1804497,0.3813434,5.063731013113599e-18,-2.9005724485646893,7.086597952545903,0.9999879953239638,-1.0574459706300077,-1.4999776371612128,0.45249998569488525,0.07736801633534633,120,-0.01201574970036745,2.7268772,0.0060599707,3.375,1.0,0.12879838590005835,-0.6643966792661484,-0.6349286238242873
-53.845,951,-0.030956717,-0.48203585,0.5254381,0.051579434,-0.012554442,-2.292552,2.0154545,0.40443859,-3.735766223764985e-18,-3.448653171048775,8.107130311048438,0.9999856943400525,-1.1297389345774496,-1.499999952579568,0.45249998569488525,0.05836197020304228,140,-0.006932140327990055,2.7138653,0.0027328993,3.375,1.0,0.09532059057911943,-0.6332529298307332,-0.6041777374648656
-49.75,847,-0.042186312,-0.47878128,0.5295635,0.050698835,-0.023455737,-2.159743,2.264631,0.4205474,-1.6777868612989378e-17,-3.2894885823400797,7.522534810114378,0.9999868307870091,-1.1717566084422115,-1.499999952561768,0.45249998569488525,0.05199580284538696,160,-0.005988158285617828,2.6856933,0.0018764281,3.375,1.0,0.07844629512365045,-0.5082535766511744,-0.4452362219625543
-44.65,793,-0.0047151083,-0.4726476,0.5349589,0.053211194,0.008683389,-2.0804992,2.0796914,0.40298104,8.960185822952083e-18,-3.106327861238093,6.510905031231416,0.9999885096053748,-1.1229255540481318,-1.4999976312370051,0.45249998569488525,0.0725741354529661,180,-0.00904320552945137,2.68254,0.0049184156,3.375,1.0,0.11725411326240391,-0.6156337466995236,-0.6030092258596735
-43.679996,796,-0.0617236,-0.47438583,0.529447,0.03711984,-0.07780394,-2.532967,2.0397856,0.38733578,8.926416278393219e-18,-3.2470699019358964,6.554878550912279,0.9999882345405451,-1.094325320579461,-1.499997631236991,0.45249998569488525,0.07401394709892262,200,-0.005547500215470791,2.6769032,0.001878987,3.375,1.0,0.12020181707399952,-0.6232465079838458,-0.6534007159027666
