_MeanReward,Steps,_mean_obs,_min_obs,_max_obs,_std_obs,_mean_act,_min_act,_max_act,_std_act,_mean_adv,_min_adv,_max_adv,_std_adv,_mean_discrew,_min_discrew,_max_discrew,_std_discrew,_Episode,PolicyLoss,PolicyEntropy,KL,Beta,_lr_multiplier,ValFuncLoss,ExplainedVarNew,ExplainedVarOld
-60.102863,1000,0.6737935,-0.40147606,3.3333333,0.79202497,0.12787454,-2.2662232,2.7995288,0.46520114,2.1316282072803006e-17,-1.5749203278266108,4.351203318053055,0.999998518682909,-1.1980254916991093,-2.99999990515946,4.855785226295008,1.705892009970893,20,-0.03507032245397568,2.767108,0.01203352,1.5,1.0,1.8922973041820563,-0.08495194101208248,-0.013775086917485524
-91.47681,955,-0.0884243,-0.69021475,0.50348175,0.056680955,-0.039986517,-2.2925978,1.8809205,0.40037087,-1.1160357106179584e-16,-1.2902170559486592,4.817815831884729,0.9999986946618933,-1.9114523440372946,-2.99999990515946,5.725289821624756,1.8364181040655765,40,-0.03156273439526558,2.7683022,0.01269571,2.25,1.0,1.9153163540065394,-0.042613876314651744,-0.08406344085670225
-85.53309,923,-0.035964184,-0.47541866,0.49564618,0.046880387,-0.015158797,-2.0183687,2.5355263,0.3849353,2.3094563459158186e-17,-1.5184549869257316,5.296169672575835,0.9999983238043001,-1.8484255910902385,-2.99999990515946,4.469205037665242,1.744579472103076,60,-0.021190015599131584,2.769368,0.009261023,3.375,1.0,2.306300574730216,-0.3040321921081286,-0.055938760535506615
-59.22323,781,0.0077999057,-0.47213265,0.5135954,0.05407969,0.008116858,-2.2855647,2.121268,0.41716364,2.7293574997186946e-17,-2.493585570219626,7.6333118527256465,0.9999979418448542,-1.510226915780669,-2.99999990515946,5.698092118811191,1.5949767276439544,80,-0.009595852345228195,2.7623703,0.0036833077,3.375,1.0,2.2439971694558274,-0.4068785643412902,-0.4149953350064095
-74.50352,917,-0.0012563188,-0.4814214,0.53525215,0.048845608,-0.0016165517,-2.1506922,2.2641914,0.37956274,3.874278820938387e-18,-2.5430902405364146,6.3527950622209834,0.9999978668512817,-1.621021819334761,-2.99999990515946,4.479274884771906,1.6833507684283167,100,-0.014758222736418247,2.7469344,0.0040932395,3.375,1.0,2.4469334457070584,-0.45360740051299775,-0.41766914905130004
-62.0012,897,0.020536877,-0.4903556,0.5819508,0.04869599,0.010261759,-2.3922265,2.0562255,0.3680335,-7.921323698551841e-18,-2.680123047635601,5.455002195048772,0.9999977953636138,-1.3777266827902184,-2.99999990515946,4.074142202391799,1.4861148753485351,120,-0.009972146712243557,2.7308338,0.0042119054,3.375,1.0,2.2260672041301675,-0.4978018678597287,-0.4525023688086969
-54.346794,872,0.019917628,-0.5050277,0.60925925,0.049183268,0.016507907,-2.4236636,2.0873992,0.4081479,-2.0371064672021222e-18,-2.6056908674033337,5.82763922365835,0.9999978403667421,-1.242455710649149,-2.99999990515946,3.9097658430563995,1.4641826835808702,140,-0.011371291242539883,2.7236643,0.0043088114,3.375,1.0,2.0764231397748327,-0.417955561314862,-0.41621457659061734
-52.57368,872,0.03133476,-0.51999795,0.4453758,0.044962905,0.010907803,-2.0683353,2.3019392,0.38333607,-2.4445277606425466e-17,-3.685777582084054,6.142993987860685,0.9999974449955675,-1.2010112081841655,-2.99999990515946,4.354036943029962,1.2970842839160068,160,-0.008134481497108936,2.6946204,0.0028120845,3.375,1.0,2.0730485695105183,-0.596091227064665,-0.5548642518935956
-48.08381,882,0.037554197,-0.53251374,0.49190366,0.04280301,0.026184855,-2.2469947,2.0293345,0.37473866,4.028020043991498e-18,-2.8713267463114147,4.629201995102244,0.9999975952027579,-1.0860624718519203,-2.999999905157839,3.5224877753969057,1.3165787365045742,180,-0.010103968903422356,2.68785,0.0046379603,3.375,1.0,1.8941348149965187,-0.4384501519344446,-0.4590786410997294
-57.56309,938,0.011914241,-0.5476314,0.58611923,0.042710695,0.007069729,-2.5784993,2.340153,0.38709173,-2.2725247412369942e-17,-3.559022136867924,5.02842358036651,0.9999976696418326,-1.2229388380604986,-2.9999999050192088,3.8884147563691958,1.2199885769084613,200,-0.0079445019364357,2.6772268,0.0022252041,3.375,1.0,1.7345139564155283,-0.42173503889508246,-0.3809461464196686
-43.940147,848,0.013968985,-0.57273835,0.4749929,0.04429848,0.0059800446,-2.4041696,2.1865475,0.39213952,-1.9900224026299974e-17,-3.9782094978227316,5.290745506418493,0.9999973602494872,-1.0319292917692484,-2.999999905146096,4.258285657476984,1.0583192610098011,220,-0.0057238126173615456,2.6472628,0.001847439,3.375,1.0,1.541223462878134,-0.4552721061585756,-0.49452233716344085
-51.336937,920,0.006443029,-0.57441694,0.44349048,0.040425576,0.025547529,-2.0371754,1.9420955,0.37039483,1.544658121217609e-17,-3.167466846746125,6.411334987595527,0.999997697801375,-1.1120569305047296,-2.999998431191729,4.842402682169632,1.1308035314456282,240,-0.005252800416201353,2.6242988,0.0015690599,3.375,1.0,1.5499854709062708,-0.3705413084934819,-0.4173614070355691
-38.761326,932,0.05540148,-0.5948183,0.46537152,0.036882456,0.030521452,-2.6512582,2.0679216,0.36447826,3.6213283206657465e-17,-3.80835336148179,5.456512119812036,0.9999970212511378,-0.8290867180025089,-2.9999985173457735,3.3537627616639956,0.8372217375013407,260,-0.006503567099571228,2.6148853,0.0025251505,3.375,1.0,1.1716311484981619,-0.39942509032000206,-0.4039060042455067
-43.080162,901,0.033290498,-0.6141707,0.37648925,0.040739827,0.039562013,-2.4318864,2.2718477,0.38341162,-1.9715392224198118e-17,-2.9981767681361697,6.504422150479233,0.9999972768340855,-0.9528295677081516,-2.99999990515946,4.796437875341974,1.0637264060697778,280,-0.004441721364855766,2.6093884,0.0015557373,3.375,1.0,1.551682456971052,-0.4580897647254607,-0.3370293281607213
-41.110733,859,0.02701886,-0.61962885,0.45296553,0.043228216,0.008143901,-2.8841474,2.5414844,0.39330283,-2.4815229421190926e-17,-4.333099318004824,4.2859986746295275,0.9999972101272325,-0.9529915584751356,-2.9999999051593442,3.6585842529054506,0.9634492524831598,300,-0.004819225054234266,2.5975137,0.0019688185,3.375,1.0,1.4101293586400134,-0.4631707943212524,-0.5120502320328228
