,0
441,-39.59999999999999
442,-32.599999999999994
443,-45.19999999999999
444,-42.39999999999999
445,-3.5
446,-8.9
447,-5.8999999999999995
448,-4.5
449,-47.999999999999986
450,-39.59999999999999
451,-3.5
452,-47.999999999999986
453,-6.8999999999999995
454,-4.5
455,-2.5
456,-47.999999999999986
457,-33.99999999999999
458,-4.5
459,-47.999999999999986
460,-36.79999999999999
461,-43.79999999999999
462,-40.99999999999999
463,-3.5
464,-35.39999999999999
465,-4.5
466,-3.5
467,-35.39999999999999
468,-47.999999999999986
469,-35.39999999999999
470,-40.999999999999986
471,-32.6
472,-45.19999999999999
473,-4.1
474,-42.39999999999999
475,-4.5
476,-34.0
477,-29.299999999999997
478,-2.5
479,-31.199999999999996
480,-47.999999999999986
481,-29.799999999999997
482,-19.1
483,-7.299999999999999
484,-47.999999999999986
485,-47.999999999999986
486,-39.59999999999999
487,-3.5
488,-3.5
489,-47.999999999999986
490,-46.59999999999999
491,-43.79999999999999
492,-16.1
493,-40.999999999999986
494,-38.19999999999999
495,-35.39999999999999
496,-40.999999999999986
497,-38.199999999999996
498,-46.59999999999999
499,-10.299999999999999
500,-28.399999999999995
501,-45.19999999999999
502,-43.79999999999999
503,-47.999999999999986
504,-47.999999999999986
505,-1.1
506,-46.59999999999999
507,-33.99999999999999
508,-45.19999999999998
509,-10.7
510,-36.79999999999999
511,-1.1
512,-42.399999999999984
513,-47.999999999999986
514,-10.299999999999999
515,-46.59999999999999
516,-47.999999999999986
517,-38.19999999999999
518,-42.39999999999999
519,-45.19999999999998
520,-31.099999999999994
521,-47.999999999999986
522,-46.59999999999999
523,-42.399999999999984
524,-47.999999999999986
525,-4.1
526,-47.999999999999986
527,-20.5
528,-4.5
529,-47.999999999999986
530,-39.49999999999999
531,-46.59999999999999
532,-30.099999999999994
533,-12.299999999999999
534,-25.7
535,-36.79999999999999
536,-47.999999999999986
537,-35.39999999999999
538,-47.999999999999986
539,-2.1
540,-46.59999999999999
541,-40.99999999999999
542,-43.79999999999999
543,-13.700000000000001
544,-9.299999999999999
545,-47.999999999999986
546,-6.5
547,-40.999999999999986
548,-9.299999999999999
549,-47.999999999999986
550,-3.5
551,-43.79999999999998
552,-24.299999999999997
553,-6.8999999999999995
554,-42.399999999999984
555,-38.19999999999999
556,-35.39999999999999
557,-8.299999999999999
558,-8.5
559,-47.999999999999986
560,-12.1
561,-47.999999999999986
562,-47.999999999999986
563,-10.7
564,-32.599999999999994
565,-35.39999999999999
566,-45.19999999999998
567,-36.79999999999999
568,-39.59999999999999
569,-3.5
570,-47.999999999999986
571,-26.699999999999996
572,-18.1
573,-33.99999999999999
574,-3.5
575,-47.999999999999986
